377,parametrag reglementair cadr emploi
378,simul agent plantag execu
379,parametrag echeanci erreur longueur cod
380,simul agent
381,simul group graphism
382,simul group list gra
383,parametrag echeanci msg erreur creation
375,libel parametrag present cap devient regl present tableau
376,parametrag echeanci charg rafraich phas
403,inject proposit present list
402,gestion tableau suppress
398,simul group list resultat
399,simul group list resultat
400,creation tableau avanc disposit bouton
401,parametrag organ combo
410,tableau avanc reintegr
411,list cour
396,tableau phas verif
397,echeanci cap ouvertur lectur
388,calcul max
389,mult combo
390,pag meti rafraich
391,tableau brouillon
392,tableau creation
393,macro compos dat
394,tableau brouillon
395,tableau avanc creation mem cod
386,inject proposit
387,tableau avanc erreur fatal
384,simul group trait
385,parametrag echeanci impossibl cre echeanci echeanc
409,tableau exclur promouv
373,parametrag present avis cod trop long erreur
374,parametrag reg specif cosmet
412,max proposit integre tableau
367,parametrag appreci avis creation impossibl
368,macro compos quicksearch
369,parametrag present avis valid cre
370,parametrag reglementair posit
371,parametrag present avis nombr appreci
372,parametrag reglementair posit
366,parametrag reglementair statut
365,parametrag reglementair interfac
364,parametrag appreci avis non conform maquet
363,parametrag echeanci
362,parametrag organ combo zon non obligatoir
357,tableau avanc messag erreur valid
358,quicksearch
359,parametrag collectivit
360,parametrag statut
361,parametrag typ proposit agent
350,simul graphism
351,simul agent interfac
352,tableau avanc retro planning sous
353,tableau avanc appliqu filtr sur list non promouvab
354,simul agent requet
355,avanc max reintegr
356,proposit reintegre disparu
346,repartit avanc
349,tableau avanc list proposit sous
347,tableau avanc pert une proposit
345,tableau avanc pert une proposit
344,onglet premi niveau
343,tableau avanc criter list promouvab non promouvab
341,tableau chgt dat
348,tableau avanc cosmet
340,creation par cop
342,tableau avanc align
406,tableau avanc appliqu filtr
338,parametrag organ align libel radio bouton
337,parametrag organ combo zon non obligatoir
407,mot pass utilis
336,pag meti avanc echelon
319,ergo pav cour
320,doubl ascenseur
324,ajout collectivit cartouch agent proposit
325,creation tableau avanc rafraich list cour
326,creation tableau avanc enregistr
327,proposit faut frapp
328,avanc max proposit
329,list macro compos
330,pag parametrag messag erreur
331,creation tableau avanc parametrag present cap
332,pag parametrag align
333,gestion tableau filtr
335,gestion tableau ouvertur lectur
314,onglet descript tableau
315,fonction incorrect arbos except
316,method addunio class sdtqrymgr fonction correct
317,method addunio class sdtqrymgr fonction correct
318,cartouch agent dan propositiona
414,justif retard retard
413,justif retard proposit cosmet
312,graphism diver
313,chang onglet descript plac supprim retro planning
311,modif action recalcul non verifie phas verif
309,travail tach fair lourd
308,ajout lien motif avanc proposit car necessair edit arret
306,suppleanc filtr appliqu utilis
307,indiqu suiv suppleanc inoper
303,recherch list agent
304,modif mot pass non securise acce
301,quicksearch fonction correct parametrag condit reglementair
300,parametrag organ collectivit
299,pag meti
302,acced pag specif agent don depuis lien
305,planning medecin passag minut
310,impossibl lanc calcul
298,creation tableau avct
295,macro compos
296,macro compos
297,mettr sabli lor chang environ
292,acce simul agent remplac cod libel dit maquet
293,sais resultat click bouton modif proposit consult prop san effet
404,simul group criter agent
405,tableau avanc cosmet radio bouton dat
408,tableau avanc promouvab criter sur dat
289,erreur lor affichag macro compos detail agent
